Division,Carline,Combined MPG,City MPG,Highway MPG,Weight (lbs.),Displacement (liters),Horsepower
Aston Martin Lagonda Ltd,Rapide S,17,14,22,4750,6,552
Buick,REGAL AWD,22,19,27,4500,2,260
Cadillac,CTS SEDAN,25,21,31,4000,2,272
Cadillac,CTS SEDAN AWD,24,21,29,4250,2,335
Cadillac,CTS-V,17,14,21,4500,6.2,650
Chevrolet,MALIBU,26,22,33,3375,2,160
Chevrolet,MALIBU LIMITED,27,24,34,3750,2.5,196
Cadillac,XTS AWD,20,17,26,4750,3.6,410
Chevrolet,IMPALA,25,22,31,3875,2.5,280
Chevrolet,SONIC 5,31,27,37,3250,1.4,138
Chevrolet,COLORADO 2WD,22,20,27,4250,2.5,194
Chevrolet,COLORADO 2WD,22,19,26,4250,2.5,194
GMC,CANYON 2WD,22,20,27,4750,2.5,181
Chevrolet,COLORADO 4WD,21,19,25,4500,2.5,194
Chevrolet,C15 SILVERADO 2WD,20,18,24,5500,4.3,345
Chevrolet,K15 SILVERADO 4WD,19,17,22,5500,4.3,285
Cadillac,XTS HEARSE,17,15,21,6000,3.6,303
GMC,CANYON CAB CHASSIS 2WD,16,15,17,5250,3.6,305
Buick,ENCORE,28,25,33,3500,1.4,148
Chevrolet,EQUINOX FWD,26,22,32,4000,2.4,182
Chevrolet,TRAX,29,26,34,3625,1.4,138
Buick,ENCORE AWD,26,23,30,3625,1.4,148
Chevrolet,EQUINOX AWD,23,20,29,4250,2.4,182
GMC,CANYON 4WD,21,19,25,5000,2.5,181
Cadillac,ESCALADE 2WD,17,15,22,6000,6.2,425
Chevrolet,C1500 SUBURBAN 2WD,18,16,23,6000,5.3,345
Buick,ENCLAVE AWD,18,16,22,5500,3.6,288
Cadillac,SRX AWD,18,16,23,4750,3.6,280
Chevrolet,K1500 SUBURBAN 4WD,18,15,22,6500,5.3,345
Chevrolet,K1500 TAHOE 4WD,18,16,22,6000,5.3,345
GMC,K1500 YUKON XL 4WD,18,15,22,6500,5.3,425
Honda,CR-Z,37,36,39,3000,1.5,135
Honda,CR-Z,34,31,38,3000,1.5,135
Acura,ILX,29,25,36,3375,2.4,202
Acura,RLX,30,28,32,4250,3.5,310
Honda,ACCORD,31,27,37,3875,2.4,278
Honda,ACCORD,27,23,34,3500,2.4,185
Acura,MDX 2WD,22,19,27,4250,3.5,290
Acura,RDX 2WD,23,20,29,4000,3.5,279
Honda,HR-V 2WD,31,28,35,3250,1.8,138
Honda,HR-V 2WD,28,25,34,3250,1.8,138
Acura,MDX 4WD,22,19,26,4500,3.5,290
Acura,RDX 4WD,22,19,28,4250,3.5,279
Honda,HR-V 4WD,29,27,32,3375,1.8,138
HYUNDAI MOTOR COMPANY,Genesis Coupe,19,16,25,3875,3.8,348
HYUNDAI MOTOR COMPANY,Genesis Coupe,19,17,24,3875,3.8,348
HYUNDAI MOTOR COMPANY,Elantra,32,28,38,3250,1.8,173
HYUNDAI MOTOR COMPANY,Elantra,31,27,37,3125,1.8,173
HYUNDAI MOTOR COMPANY,Elantra Limited,31,27,37,3125,1.8,145
HYUNDAI MOTOR COMPANY,Azera,23,20,29,4000,3.3,293
HYUNDAI MOTOR COMPANY,Azera Limited,22,19,28,4250,3.3,293
HYUNDAI MOTOR COMPANY,Equus,18,15,23,4750,5,429
HYUNDAI MOTOR COMPANY,Sonata,32,28,38,3750,1.6,245
Jaguar,XF,24,20,30,4250,3,340
Jaguar,XF AWD,23,20,28,4500,3,340
Jaguar,XJ,21,18,27,4500,3,340
Jaguar,XJL,21,18,27,4500,3,340
Land Rover,Discovery Sport,22,20,26,4500,2,240
Land Rover,Range Rover Evoque,24,21,30,4250,2,240
Land Rover,LR4,16,15,19,6000,3,306
Land Rover,Range Rover Sport,19,17,23,6000,3,510
KIA MOTORS CORPORATION,Forte Koup,25,22,30,3250,1.6,201
KIA MOTORS CORPORATION,Forte Koup,25,22,29,3250,1.6,201
KIA MOTORS CORPORATION,Rio,31,27,37,2875,1.6,138
KIA MOTORS CORPORATION,Rio,31,27,38,2750,1.6,138
KIA MOTORS CORPORATION,Rio ECO,31,28,37,2875,1.6,138
KIA MOTORS CORPORATION,Forte,31,26,39,3250,1.8,173
KIA MOTORS CORPORATION,Forte,30,25,37,3125,1.8,145
KIA MOTORS CORPORATION,Cadenza,22,19,28,4000,3.3,293
KIA MOTORS CORPORATION,Forte 5,24,21,29,3250,1.6,173
KIA MOTORS CORPORATION,K900,20,17,26,5000,3.8,420
KIA MOTORS CORPORATION,Soul,26,24,30,3125,1.6,130
KIA MOTORS CORPORATION,Soul,26,24,30,3125,1.6,130
KIA MOTORS CORPORATION,Soul ECO dynamics,27,24,31,3250,2,164
KIA MOTORS CORPORATION,Sedona,20,18,24,4750,3.3,276
KIA MOTORS CORPORATION,Sedona SX,21,18,25,4750,3.3,276
KIA MOTORS CORPORATION,Sedona SXL,19,17,22,5000,3.3,276
MASERATI,GRANTURISMO CONVERTIBLE,15,13,20,4750,4.7,444
MASERATI,QUATTROPORTE GTS,17,15,22,4750,3.8,523
MASERATI,QUATTROPORTE SQ4 V6,18,16,23,5000,3,405
MAZDA,MX-5,30,27,36,2750,2,155
MAZDA,MX-5,30,27,34,2625,2,155
McLaren,570S Coupe,19,16,23,3625,3.8,562
Mercedes-Benz,AMG GT S,18,16,22,4000,4,503
Mercedes-Benz,SL 400,23,20,27,4250,3,329
Mercedes-Benz,SL 550,19,16,24,4250,4.7,449
Mercedes-Benz,SLK 300,28,25,32,3750,2,241
Mercedes-Benz,SLK 350,24,21,29,3750,3.5,302
Mercedes-Benz,Smart fortwo (COUPE),36,34,39,2500,0.9,89
Mercedes-Benz,Smart fortwo (COUPE),35,32,39,2500,0.9,89
Mercedes-Benz,E 400 (convertible),24,20,29,4500,3,329
Mercedes-Benz,E 400 (coupe),24,20,29,4250,3,329
Mercedes-Benz,E 400 4MATIC (coupe),23,20,28,4500,3,329
Mercedes-Benz,E 550 (convertible),20,17,26,4750,4.7,402
Mercedes-Benz,E 550 (coupe),21,18,26,4500,4.7,402
Mercedes-Benz,AMG C 63,20,18,25,4250,4,469
Mercedes-Benz,C 300,28,25,34,3750,2,241
Mercedes-Benz,C 300 4MATIC,27,24,31,4000,2,241
Mercedes-Benz,C 450 AMG,24,21,29,4000,3,362
Mercedes-Benz,CLA 250,30,26,38,3625,2,208
Mercedes-Benz,CLA 250 4MATIC,27,24,33,3750,2,208
Mercedes-Benz,CLS 400,24,20,30,4500,3,329
Mercedes-Benz,CLS 400 4MATIC,22,19,26,4500,3,329
Mercedes-Benz,CLS 550,21,17,26,4500,4.7,402
Mercedes-Benz,CLS 550 4MATIC,20,17,25,4750,4.7,402
Mercedes-Benz,S 550 4MATIC (coupe),19,16,24,5000,4.7,429
Mercedes-Benz,E 350,23,20,29,4250,3.5,302
Mercedes-Benz,E 350 4MATIC,23,20,28,4500,3.5,302
Mercedes-Benz,E 400,23,20,29,4500,3,329
Mercedes-Benz,E 400 4MATIC,23,20,28,4750,3,329
Mercedes-Benz,E 550 4MATIC,21,18,24,4750,4.7,402
Mercedes-Benz,Maybach S 600,15,13,20,5500,6,523
Mercedes-Benz,S 550,20,17,26,5000,4.7,449
Mercedes-Benz,S 550 4MATIC,19,16,26,5250,4.7,449
Mercedes-Benz,S 600,16,14,21,5500,6,523
Mercedes-Benz,GLA 250,29,25,35,3750,2,208
Mercedes-Benz,Metris (Cargo Van),22,21,24,4500,2,208
Mercedes-Benz,Metris (Passenger Van),22,20,23,5250,2,208
Mercedes-Benz,GLA 250 4MATIC,27,24,32,3875,2,208
Mercedes-Benz,AMG G65,12,11,13,6000,6,621
Mercedes-Benz,AMG GLE 63 S (coupe),15,14,18,5500,5.5,577
Mercedes-Benz,GL 350 BLUETEC 4MATIC,22,19,26,6000,3,240
Mercedes-Benz,GL 450 4MATIC,19,17,21,6000,3,362
Mercedes-Benz,GL 550 4MATIC,15,13,18,6000,4.7,429
Mercedes-Benz,GLE 450 AMG (coupe),20,17,23,5500,3,362
Mitsubishi Motors Corporation,LANCER,30,27,35,3250,2,148
Mitsubishi Motors Corporation,LANCER,28,24,34,3250,2,148
Mitsubishi Motors Corporation,OUTLANDER 2WD,27,25,31,3750,2.4,166
Mitsubishi Motors Corporation,OUTLANDER 4WD,26,24,29,3875,2.4,166
Porsche,911 GT3,17,15,20,3625,3.8,475
Porsche,Boxster,26,22,32,3375,2.7,265
Porsche,Boxster,24,20,30,3375,2.7,265
Porsche,Boxster S,24,21,30,3375,3.4,315
Porsche,Boxster S,23,20,28,3375,3.4,315
Porsche,Boxster Spyder,20,18,24,3375,4,375
Porsche,Cayman GT4,20,18,23,3500,4,385
Porsche,Cayman GTS,25,22,31,3375,3.4,340
Porsche,Cayman GTS,22,19,26,3375,3.4,340
Porsche,911 Carrera,23,20,28,3500,3.4,350
Porsche,911 Carrera,22,19,27,3500,3.4,350
Porsche,911 Carrera 4,23,20,28,3625,3.4,350
Porsche,911 Carrera 4,22,19,27,3625,3.4,350
Porsche,911 Carrera 4 Cabriolet,22,20,27,3750,3.4,350
Porsche,911 Carrera 4 Cabriolet,22,19,26,3750,3.4,350
Porsche,911 Carrera 4S,22,19,26,3750,3.8,400
Porsche,911 Carrera 4S,21,19,26,3625,3.8,400
Porsche,911 Carrera 4S Cabriolet,21,19,26,3750,3.8,400
Porsche,911 Carrera 4S Cabriolet,21,18,26,3750,3.8,400
Porsche,911 Carrera Cabriolet,23,21,28,3625,3.4,350
Porsche,911 Carrera Cabriolet,22,19,27,3625,3.4,350
Porsche,911 Carrera S,23,20,27,3625,3.8,400
Porsche,911 Carrera S,22,19,27,3500,3.8,400
Porsche,911 Carrera S Cabriolet,22,19,27,3750,3.8,400
Porsche,911 Carrera S Cabriolet,22,19,27,3625,3.8,400
Porsche,911 Targa 4,22,19,26,3875,3.4,350
Porsche,911 Targa 4,21,18,26,3875,3.4,350
Porsche,911 Targa 4S,21,18,25,3875,3.8,400
Porsche,911 Targa 4S,21,18,26,3875,3.8,400
Porsche,Panamera,22,18,28,4250,3.6,310
Porsche,Panamera 4,21,18,27,4500,3.6,310
Porsche,Panamera 4S,21,17,27,4500,3,420
Porsche,Panamera 4S Executive,20,17,26,4750,3,420
Porsche,Panamera GTS,19,16,24,4750,4.8,440
Porsche,Panamera Turbo,18,15,24,4750,4.8,520
Porsche,Panamera Turbo Executive,18,15,24,5000,4.8,520
Porsche,Macan S,19,17,23,4750,3,340
Porsche,Macan Turbo,19,17,23,4750,3.6,400
Porsche,Cayenne,21,19,24,5000,3.6,300
Porsche,Cayenne GTS,19,16,23,5500,3.6,440
Porsche,Cayenne S,20,17,24,5250,3.6,420
Porsche,Cayenne Turbo,17,14,21,5500,4.8,520
Rolls-Royce Motor Cars Limited,Wraith,15,13,21,5500,6.6,624
Rolls-Royce Motor Cars Limited,Ghost EWB,15,13,21,6000,6.6,563
Rolls-Royce Motor Cars Limited,Phantom,14,11,19,6000,6.7,453
Rolls-Royce Motor Cars Limited,Phantom EWB,14,11,19,6500,6.7,453
Subaru,BRZ,28,25,34,3125,2,200
Subaru,BRZ,25,22,30,3125,2,200
Subaru,IMPREZA,31,28,37,3375,2,148
Subaru,IMPREZA,28,25,34,3250,2,148
Subaru,WRX,21,18,24,3750,2,268
Subaru,WRX,23,20,27,3625,2,268
Subaru,LEGACY,30,26,36,3875,2.5,175
Subaru,IMPREZA SPORT,31,27,36,3500,2,148
Subaru,IMPREZA SPORT,28,24,33,3375,2,148
Subaru,IMPREZA WAGON,31,28,37,3375,2,148
Subaru,IMPREZA WAGON,28,25,34,3375,2,148
Subaru,FORESTER,25,22,29,4000,2.5,250
Subaru,OUTBACK,28,25,33,4000,2.5,175
LEXUS,RC F,19,16,25,4250,5,467
LEXUS,IS 200t,26,22,33,4000,2,241
LEXUS,IS 350,22,19,28,4000,3.5,306
LEXUS,IS 350 AWD,21,19,26,4250,3.5,306
SCION,tC,26,23,31,3500,2.5,179
SCION,tC,26,23,31,3375,2.5,179
TOYOTA,YARIS,32,30,36,2625,1.5,106
TOYOTA,YARIS,33,30,37,2625,1.5,106
LEXUS,ES 350,24,21,31,3875,3.5,268
LEXUS,LS 460 AWD,18,16,23,5000,4.6,380
LEXUS,LS 460 L,19,16,24,4750,4.6,380
LEXUS,LS 460 L AWD,18,16,23,5000,4.6,380
SCION,iM,31,27,36,3250,1.8,137
TOYOTA,CAMRY,28,25,35,3500,2.5,178
TOYOTA,COROLLA,31,27,36,3125,1.8,132
TOYOTA,COROLLA,31,28,37,3125,1.8,132
TOYOTA,TACOMA 2WD,21,19,23,4500,2.7,278
TOYOTA,TACOMA 4WD,20,19,22,4750,2.7,278
TOYOTA,TACOMA 4WD,20,19,21,4750,2.7,278
TOYOTA,TUNDRA 2WD,16,15,19,5500,4.6,381
TOYOTA,TUNDRA 2WD FFV,15,13,18,6000,5.7,381
TOYOTA,TUNDRA 4WD,16,14,18,6000,4.6,381
TOYOTA,TUNDRA 4WD FFV,15,13,17,6000,5.7,381
LEXUS,NX 200t,25,22,28,4250,2,235
LEXUS,RX 350,23,20,28,4500,3.5,295
TOYOTA,HIGHLANDER,22,20,25,4500,2.7,185
TOYOTA,RAV4,26,23,30,3750,2.5,176
LEXUS,NX 200t AWD,24,22,28,4250,2,235
LEXUS,NX 200t AWD F SPORT,24,22,27,4250,2,235
LEXUS,RX 350 AWD,22,19,26,4750,3.5,295
TOYOTA,RAV4 AWD,25,22,29,3875,2.5,176
TOYOTA,4RUNNER 2WD,19,17,22,4750,4,270
TOYOTA,SEQUOIA 2WD,15,13,17,6000,5.7,381
LEXUS,GX 460,17,15,20,5500,4.6,301
LEXUS,LX 570,15,13,18,6500,5.7,383
TOYOTA,4RUNNER 4WD,18,17,21,5000,4,270
TOYOTA,HIGHLANDER AWD,20,18,24,4750,3.5,270
TOYOTA,LAND CRUISER WAGON 4WD,15,13,18,6000,5.7,381
TOYOTA,SEQUOIA 4WD,14,13,17,6500,5.7,381
TOYOTA,SEQUOIA 4WD FFV,14,13,17,6500,5.7,381
Lamborghini,Huracan,17,14,21,3750,5.2,610
Audi,A3,27,23,33,3750,1.8,170
Audi,S3,26,23,31,3750,2,292
Volkswagen,Eos,25,22,30,3875,2,200
Audi,A4,27,24,31,4000,2,220
Audi,Q3,23,20,29,4000,2,200
Volkswagen,Beetle,28,25,34,3625,1.8,210
Volkswagen,Beetle,28,25,34,3625,1.8,208
Volkswagen,CC,25,22,31,3625,2,200
Volkswagen,Golf,29,25,36,3375,1.8,170
Volkswagen,Golf,30,25,37,3375,1.8,170
Volkswagen,Golf R,25,22,31,3625,2,292
Volkswagen,GTI,28,25,33,3500,2,211
Volkswagen,GTI,28,25,34,3375,2,211
Volkswagen,Jetta,32,28,39,3500,1.4,170
Volkswagen,Jetta,33,28,40,3500,1.4,210
Audi,A6,28,24,35,4500,2,333
Audi,S6,21,18,27,5000,4,450
Audi,S8,20,16,26,5000,4,520
Volkswagen,Passat,29,25,38,3750,1.8,280
Audi,A8L,28,24,36,5250,3,500
Volkswagen,Tiguan,23,21,26,4000,2,200
Audi,SQ5,19,17,24,4750,3,354
Volkswagen,Touareg,24,21,29,5250,3,280
